GEOID,neet_count,neet_count_moe,total_youth,total_youth_moe,neet_percent,neet_percent_moe,neet_percent_cv,neet_male_count,neet_male_moe,total_male,total_male_moe,neet_percent_male,neet_percent_male_moe,neet_percent_male_cv,neet_female_count,neet_female_moe,total_female,total_female_moe,neet_percent_female,neet_percent_female_moe,neet_percent_female_cv
24003730300,23,34.92849839314596,117,88,19.65811965811966,33.31426616708304,1.6946822354559632,23,32,61,46,37.704918032786885,59.66905582420789,1.5825271327289918,0,14,23,32,0.0,,
24003730401,48,68.6804193347711,190,193,25.263157894736842,44.3304523159857,1.7547470708411006,48,66,161,176,29.81366459627329,52.37065831773981,1.7565991644075227,0,19,48,66,0.0,,
24003730403,9,22.80350850198276,217,144,4.147465437788019,10.862963936706485,2.61918130473923,0,14,75,68,0.0,,,9,18,0,14,inf,inf,
24003730404,22,34.0147027033899,137,81,16.05839416058394,26.58167110220052,1.6553131550006688,22,31,60,65,36.666666666666664,65.17130797149962,1.777399308313626,0,14,0,14,,,
24003730507,0,19.79898987322333,244,102,0.0,,,0,14,166,81,0.0,,,0,14,0,14,,,
24003730508,0,19.79898987322333,218,162,0.0,,,0,14,146,92,0.0,,,0,14,0,14,,,
24003730509,14,29.832867780352597,267,169,5.2434456928838955,11.655854468272384,2.222937959306233,14,23,114,84,12.280701754385964,22.111797844780043,1.8005321102178036,0,19,14,23,0.0,,
24003730510,0,19.79898987322333,134,99,0.0,,,0,14,45,37,0.0,,,0,14,0,14,,,
24003730511,72,62.5859409132754,115,82,62.60869565217392,70.39025062347238,1.1242887252360172,72,61,115,82,62.60869565217392,69.32952635093568,1.1073466014385558,0,14,31,49,0.0,,
24003730512,0,19.79898987322333,99,127,0.0,,,0,14,67,119,0.0,,,0,14,0,14,,,
24003730513,0,19.79898987322333,76,59,0.0,,,0,14,9,15,0.0,,,0,14,0,14,,,
24003730514,0,19.79898987322333,401,276,0.0,,,0,14,251,248,0.0,,,0,14,0,14,,,
24003730601,0,26.870057685088806,412,140,0.0,,,0,19,248,103,0.0,,,0,19,0,19,,,
24003730603,12,20.518284528683193,123,66,9.75609756097561,17.483664417039527,1.7920756027465516,12,15,76,45,15.789473684210526,21.83912331194111,1.3831444764229368,0,14,12,15,0.0,,
24003730605,0,19.79898987322333,283,74,0.0,,,0,14,100,64,0.0,,,0,14,0,14,,,
24003730606,7,19.1049731745428,325,178,2.1538461538461537,5.9956463599828,2.783692952849157,7,13,178,145,3.932584269662921,7.975067333472718,2.027945693368777,0,14,7,13,0.0,,
24003730701,0,19.79898987322333,127,75,0.0,,,0,14,16,25,0.0,,,0,14,0,14,,,
24003730702,0,19.79898987322333,210,129,0.0,,,0,14,142,124,0.0,,,0,14,0,14,,,
24003730800,12,25.238858928247925,111,48,10.81081081081081,23.21332812726895,2.147232851772378,12,21,44,36,27.27272727272727,52.68595041322314,1.9318181818181819,0,14,0,14,,,
24003730901,2,21.2602916254693,176,99,1.1363636363636365,12.096611258469585,10.645017907453234,2,16,145,96,1.3793103448275863,11.072205804818608,8.02734920849349,0,14,2,16,0.0,,
24003730902,0,19.79898987322333,195,74,0.0,,,0,14,121,75,0.0,,,0,14,0,14,,,
24003731002,10,22.02271554554524,165,73,6.0606060606060606,13.613771467311143,2.2462722921063385,10,17,65,43,15.384615384615385,28.064309647642137,1.8241801270967388,0,14,0,14,,,
24003731003,0,19.79898987322333,392,220,0.0,,,0,14,299,167,0.0,,,0,14,0,14,,,
24003731004,0,19.79898987322333,175,110,0.0,,,0,14,64,45,0.0,,,0,14,0,14,,,
24003731103,20,36.359317925395686,291,97,6.872852233676976,12.702903551109431,1.848272466686422,0,19,83,60,0.0,,,20,31,0,19,inf,inf,
24003731104,26,35.510561809129406,357,112,7.282913165266107,10.205979162934803,1.4013594466029708,26,30,223,95,11.659192825112108,14.34054454718172,1.229977474623663,0,19,0,19,,,
24003731105,8,19.79898987322333,114,54,7.017543859649122,17.682785700470117,2.519796962316992,8,14,57,50,14.035087719298245,27.474262380043665,1.9575411945781114,0,14,8,14,0.0,,
24003731106,0,19.79898987322333,187,93,0.0,,,0,14,48,40,0.0,,,0,14,0,14,,,
24003731107,0,19.79898987322333,235,106,0.0,,,0,14,154,113,0.0,,,0,14,0,14,,,
24003731201,0,26.870057685088806,168,100,0.0,,,0,19,88,85,0.0,,,0,19,0,19,,,
24003731205,55,53.85164807134504,319,159,17.24137931034483,18.942876333430387,1.0986868273389623,55,52,187,96,29.411764705882355,31.642357118622343,1.0758401420331596,0,14,0,14,,,
24003731206,0,19.79898987322333,93,70,0.0,,,0,14,83,67,0.0,,,0,14,0,14,,,
24003731207,0,19.79898987322333,246,99,0.0,,,0,14,65,49,0.0,,,0,14,0,14,,,
24003731208,13,26.92582403567252,84,85,15.476190476190476,35.67552978063441,2.3051880781333005,13,23,54,69,24.074074074074073,52.5393905511331,2.182405453662452,0,14,13,23,0.0,,
24003731209,17,34.66987164671943,233,117,7.296137339055794,15.32418144750064,2.100314280745676,17,29,225,113,7.555555555555555,13.435855102940161,1.7782749400950215,0,19,17,29,0.0,,
24003731210,0,19.79898987322333,26,22,0.0,,,0,14,7,10,0.0,,,0,14,0,14,,,
24003731303,20,36.359317925395686,309,142,6.472491909385113,12.136886048980168,1.8751488945674362,20,31,207,129,9.66183574879227,16.140945481627096,1.6705878573484043,0,19,20,31,0.0,,
24003731306,0,26.870057685088806,348,197,0.0,,,0,19,235,176,0.0,,,0,19,0,19,,,
24003731307,1,20.615528128088304,318,126,0.3144654088050315,6.4840677589873,20.61933547357961,1,8,148,73,0.6756756756756757,5.415669684395531,8.015191132905386,0,19,0,19,,,
24003731308,24,26.1725046566048,164,79,14.634146341463413,17.4464438959301,1.1921736662218902,12,18,106,60,11.320754716981133,18.149958183612235,1.6032463062190805,12,19,12,18,100.0,218.1042054717067,2.181042054717067
24003731309,0,26.870057685088806,462,190,0.0,,,0,19,102,81,0.0,,,0,19,0,19,,,
24003731310,68,50.96076922496363,205,118,33.170731707317074,31.34522766894317,0.9449664223725515,68,49,68,49,100.0,101.90656552394361,1.0190656552394362,0,14,52,43,0.0,,
24003731312,12,25.238858928247925,166,96,7.228915662650602,15.768413253695503,2.1812971667612113,12,21,93,65,12.903225806451612,24.314949705168225,1.8844086021505375,0,14,12,21,0.0,,
24003731313,0,19.79898987322333,112,86,0.0,,,0,14,58,63,0.0,,,0,14,0,14,,,
24003740103,0,26.870057685088806,387,203,0.0,,,0,19,152,114,0.0,,,0,19,0,19,,,
24003740104,0,26.870057685088806,338,176,0.0,,,0,19,267,155,0.0,,,0,19,0,19,,,
