county_name,neet_count,neet_count_moe,total_youth,total_youth_moe,neet_percent,neet_percent_moe,neet_percent_cv,male_neet_count,male_neet_count_moe,male_total,male_total_moe,male_neet_percent,male_neet_percent_moe,male_neet_percent_cv,female_neet_count,female_neet_count_moe,female_total,female_total_moe,female_neet_percent,female_neet_percent_moe,female_neet_percent_cv
Allegany,189,85.47514258543241,3392,210,5.571933962264151,2.5434059402218065,0.45646735181123643,149,75,1801,145,8.27318156579678,4.2172859210239535,0.509753821729137,40,41,111,57,36.03603603603604,41.31309743752934,1.1464384538914392
Anne Arundel,1842,257.8565492672234,26837,681,6.863658382084435,0.9764828895272485,0.1422685738666817,1735,249,13846,502,12.530694785497618,1.854851572506797,0.1480246390370554,107,67,1328,243,8.057228915662652,5.256185827406309,0.6523565213827642
Baltimore City,2142,457.13236595104485,28238,710,7.585523054040655,1.6300518304376785,0.21488983934593447,1612,359,13772,417,11.704908510020331,2.630720756264979,0.22475363681936283,530,283,571,214,92.81961471103327,60.552016723351244,0.6523622933779918
Baltimore County,2855,497.1317732754566,45458,596,6.280522680276299,1.0967024809558927,0.17461961954218205,2246,432,22796,509,9.852605720301808,1.9077958270894528,0.19363363167556172,609,246,1354,349,44.977843426883304,21.55212185724012,0.47917197035637316
Calvert,312,111.68258592994702,4587,256,6.801831262262917,2.4641783618311623,0.3622816072346007,312,107,2473,173,12.616255560048526,4.415826381936001,0.3500108539271708,0,32,250,90,0.0,,
Caroline,81,46.09772228646444,1834,162,4.416575790621592,2.5436026292734137,0.5759218792700544,55,35,910,122,6.043956043956044,3.930581005883123,0.6503324937006622,26,30,54,35,48.148148148148145,63.72052186578205,1.3234262233662426
Carroll,497,140.68759717899798,9499,267,5.232129697862932,1.48836163159199,0.28446573719300433,497,137,4671,208,10.640119888674802,2.9710143955790453,0.27922753001508493,0,32,332,127,0.0,,
Cecil,606,269.1189328159578,5314,347,11.403838916070756,5.118793077400042,0.4488657823977529,537,256,2826,280,19.002123142250532,9.252321159926028,0.48690986215923565,69,83,142,102,48.59154929577465,68.07906657823077,1.401047457117213
Charles,717,209.03827400741713,8689,347,8.251812636667049,2.4282457098737353,0.2942681586205424,648,199,4203,215,15.417558886509635,4.799948810393346,0.31133001311856845,69,64,311,129,22.186495176848876,22.542778724294564,1.0160585772834216
Dorchester,207,124.55520864259351,1804,207,11.47450110864745,7.0288090578470825,0.6125590116114076,77,67,876,208,8.789954337899543,7.928057067128407,0.901945193610972,130,105,19,32,684.2105263157895,1278.0151480002578,1.867868293231146
Frederick,776,171.73234989366446,14301,448,5.42619397244948,1.212812778702218,0.22351076737397446,660,154,7227,319,9.1324200913242,2.1686909094611813,0.2374716545859994,116,76,418,110,27.751196172248804,19.59366065721417,0.7060474271306485
Garrett,74,46.69047011971501,1300,132,5.6923076923076925,3.637784848460715,0.6390703112160715,70,46,748,99,9.358288770053475,6.273223568198638,0.6703387470017974,4,8,46,36,8.695652173913043,18.675370941744376,2.147667658300603
Harford,798,199.4818287463798,12308,448,6.4835879103022425,1.6378409156512284,0.25261335826861303,597,177,6613,366,9.027672765764404,2.722781853248621,0.30160395972417303,201,92,347,131,57.925072046109506,34.36779676949398,0.5933147004484782
Howard,971,316.36213427020624,17360,406,5.59331797235023,1.8270513981288683,0.3266489420341622,905,311,9149,308,9.891791452617772,3.415550915017438,0.34529144001651424,66,58,585,174,11.282051282051283,10.467021495639923,0.9277587234771749
Kent,76,60.166435825965294,1380,210,5.507246376811594,4.439702119658572,0.8061564375169513,67,58,619,177,10.823909531502423,9.867891701671315,0.9116753676618723,9,16,44,49,20.454545454545457,42.909130753031334,2.097779725703754
Montgomery,1944,370.10944327320266,52514,716,3.7018699775298014,0.7065874266731025,0.19087310763534623,1695,345,27104,565,6.253689492325856,1.279532988636923,0.2046044963068741,249,134,853,271,29.191090269636575,18.242514921407135,0.6249343465044293
Prince George's,3473,449.95221968560173,50022,815,6.942945104154171,0.9065936291343024,0.13057767496848857,2878,419,25399,610,11.33115476987283,1.6719670151948087,0.14755486524994074,595,164,1445,314,41.17647058823529,14.452400183547086,0.35098686160042925
Queen Anne's,206,95.03683496413377,2309,209,8.921611087050671,4.194402153909338,0.4701395423969253,197,94,1115,149,17.668161434977577,8.754867885843543,0.49551663414799757,9,14,91,71,9.89010989010989,17.211337416404454,1.7402574498808947
Somerset,71,58.137767414994535,1735,273,4.092219020172911,3.4121856127419044,0.8338228222686201,65,58,771,188,8.430609597924773,7.798521489484253,0.9250246259065168,6,4,62,56,9.67741935483871,10.864002610728981,1.1226136031086613
St. Mary's,893,246.4000811688178,6696,425,13.3363201911589,3.77591136721952,0.2831299273785208,793,232,3508,358,22.605473204104904,7.004268479839402,0.3098483458672966,100,83,690,232,14.492753623188406,12.978516815521147,0.8955176602709591
Talbot,129,65.19202405202648,1593,199,8.097928436911488,4.215581928342344,0.5205753497557638,126,65,797,113,15.809284818067754,8.457997129499493,0.5350018819215155,3,5,83,60,3.614457831325301,6.566336901253329,1.8166865426800878
Washington,559,172.1772342674838,7033,333,7.948243992606285,2.4768904208243843,0.31162737620139347,433,154,3473,266,12.467607255974663,4.5358606799103365,0.36381164298680363,126,77,255,131,49.411764705882355,39.448128278388324,0.7983549770626208
Wicomico,451,150.7912464302885,7475,271,6.033444816053512,2.029098650560496,0.3363084792226099,396,137,3849,205,10.288386593920498,3.601298795593703,0.35003532990505465,55,63,241,128,22.821576763485478,28.814488141953802,1.2625984804019756
Worcester,208,106.77546534667971,2045,182,10.171149144254278,5.299180411834512,0.5210011510673835,141,76,1071,148,13.165266106442578,7.325671958781223,0.5564393381457227,67,75,133,75,50.37593984962406,63.142121710607114,1.2534182369419025
